
############## carina - 07/24/20 18:10:17 EDT -0400 ##############

2020-07-24 18:10:17 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2020-07-25 02:41:50 64 bytes from 8.8.8.8: icmp_seq=168 ttl=114 time=48.0 ms
2020-07-25 02:42:50 64 bytes from 8.8.8.8: icmp_seq=169 ttl=114 time=61.5 ms
2020-07-25 02:43:50 64 bytes from 8.8.8.8: icmp_seq=170 ttl=114 time=52.7 ms
2020-07-25 02:44:50 64 bytes from 8.8.8.8: icmp_seq=171 ttl=114 time=51.4 ms
2020-07-25 02:45:50 64 bytes from 8.8.8.8: icmp_seq=172 ttl=114 time=58.9 ms
2020-07-25 02:46:50 64 bytes from 8.8.8.8: icmp_seq=173 ttl=114 time=48.9 ms
2020-07-25 02:47:50 64 bytes from 8.8.8.8: icmp_seq=174 ttl=114 time=51.5 ms
2020-07-25 02:48:50 64 bytes from 8.8.8.8: icmp_seq=175 ttl=114 time=68.4 ms
2020-07-25 02:49:50 64 bytes from 8.8.8.8: icmp_seq=176 ttl=114 time=50.1 ms
2020-07-25 02:50:50 64 bytes from 8.8.8.8: icmp_seq=177 ttl=114 time=48.4 ms
2020-07-25 02:51:50 64 bytes from 8.8.8.8: icmp_seq=178 ttl=114 time=45.4 ms
2020-07-25 02:52:50 64 bytes from 8.8.8.8: icmp_seq=179 ttl=114 time=49.4 ms
2020-07-25 02:53:50 64 bytes from 8.8.8.8: icmp_seq=180 ttl=114 time=60.9 ms
2020-07-25 02:54:50 64 bytes from 8.8.8.8: icmp_seq=181 ttl=114 time=58.5 ms
2020-07-25 02:55:50 64 bytes from 8.8.8.8: icmp_seq=182 ttl=114 time=47.5 ms
2020-07-25 02:56:50 64 bytes from 8.8.8.8: icmp_seq=183 ttl=114 time=52.8 ms
2020-07-25 02:57:50 64 bytes from 8.8.8.8: icmp_seq=184 ttl=114 time=51.1 ms
2020-07-25 02:58:50 64 bytes from 8.8.8.8: icmp_seq=185 ttl=114 time=51.3 ms
2020-07-25 02:59:50 64 bytes from 8.8.8.8: icmp_seq=186 ttl=114 time=48.2 ms
2020-07-25 03:00:50 64 bytes from 8.8.8.8: icmp_seq=187 ttl=114 time=49.2 ms
2020-07-25 03:01:50 64 bytes from 8.8.8.8: icmp_seq=188 ttl=114 time=46.6 ms
2020-07-25 03:02:50 64 bytes from 8.8.8.8: icmp_seq=189 ttl=114 time=59.2 ms
2020-07-25 03:03:50 64 bytes from 8.8.8.8: icmp_seq=190 ttl=114 time=46.0 ms
2020-07-25 03:04:50 64 bytes from 8.8.8.8: icmp_seq=191 ttl=114 time=53.4 ms
2020-07-25 03:05:50 64 bytes from 8.8.8.8: icmp_seq=192 ttl=114 time=42.4 ms
2020-07-25 03:06:50 64 bytes from 8.8.8.8: icmp_seq=193 ttl=114 time=47.9 ms
2020-07-25 03:07:50 64 bytes from 8.8.8.8: icmp_seq=194 ttl=114 time=61.5 ms
2020-07-25 03:08:50 64 bytes from 8.8.8.8: icmp_seq=195 ttl=114 time=62.2 ms
2020-07-25 03:09:50 64 bytes from 8.8.8.8: icmp_seq=196 ttl=114 time=48.3 ms
2020-07-25 03:10:50 64 bytes from 8.8.8.8: icmp_seq=197 ttl=114 time=57.7 ms
2020-07-25 03:11:50 64 bytes from 8.8.8.8: icmp_seq=198 ttl=114 time=48.7 ms
2020-07-25 03:12:50 64 bytes from 8.8.8.8: icmp_seq=199 ttl=114 time=55.6 ms
2020-07-25 03:13:50 64 bytes from 8.8.8.8: icmp_seq=200 ttl=114 time=66.1 ms
2020-07-25 03:14:50 64 bytes from 8.8.8.8: icmp_seq=201 ttl=114 time=78.2 ms
2020-07-25 03:15:50 64 bytes from 8.8.8.8: icmp_seq=202 ttl=114 time=42.9 ms
2020-07-25 03:16:50 64 bytes from 8.8.8.8: icmp_seq=203 ttl=114 time=49.4 ms
